Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action 26,Action 27,Action 28,Action 29,Action 30,Action 31,Action 32,Action 33,Action 34,Action 35,Action 36,Action 37,Action 38,Action 39,Action 40,Action 41,Action 42,Action 43,Action 44,Action 45,Action 46,Action 47,Action 48,Action 49,Action 50,Action 51,Action 52,Action 53,Action 54,Action 55,Action 56,Action 57,Action 58,Action 59,Action 60,Action 61,Action 62,Action 63,Action 64,Action 65,Action 66,Action 67,Action 68,Action 69,Action 70,Action 71,Action 72,Action 73,Action 74,Action 75,Action 76,Action 77,Action 78,Action 79,Action 80,Action 81,Action 82,Action 83,Action 84,Action 85,Action 86,Action 87,Action 88,Action 89,Action 90,Action 91,Action 92,Action 93
293.50793,800.0,-111.72296,800.0,-800.0,536.0543,-385.98386,-517.33905,414.8662,-791.15765,-800.0,-9.218689,119.34442,67.30463,-800.0,800.0,-800.0,800.0,637.90784,10.17688,800.0,-606.0397,-214.66406,800.0,-389.634,-762.338,800.0,-627.38354,125.230774,-800.0,0.0,0.0,915.6734,1000.0,810.048,894.5424,0.0,901.1875,1000.0,244.86517,906.72626,376.39395,635.83905,628.0123,600.2617,276.9689,0.0,432.77542,153.6988,186.96445,7.5643063,660.0545,619.923,322.8008,945.49585,0.0,383.587,144.15285,755.2115,181.94017,1000.0,269.00787,663.12445,444.94345,1000.0,62.84562,771.7882,0.0,303.85385,940.51587,362.27325,830.48834,639.8149,1000.0,610.6107,1000.0,82.199814,968.79895,298.95227,785.34534,132.80203,231.64868,269.7335,269.93173,366.86993,220.03937,569.9539,759.09546,533.25366,0.0,0.9964191,0.6095643,0.0
251.8097,-209.1828,-673.6446,767.20874,-6.3948364,-615.75195,202.16083,235.50012,200.7616,-482.03268,-334.97772,-409.6314,104.0,-800.0,-202.7356,-223.27979,-716.32196,147.42505,-81.78375,-400.16022,-800.0,-74.494385,-688.91815,-415.1112,444.55225,-91.901184,-800.0,-800.0,453.4895,192.85242,0.0,0.0,206.4401,732.7368,63.279778,172.73486,482.09177,165.1214,654.1349,955.93756,1000.0,425.96185,400.99484,138.27106,798.01917,0.0,689.35516,548.7359,200.04254,0.0,604.04956,0.0,1000.0,0.0,1000.0,0.0,670.89557,706.7749,842.1936,174.85005,975.95825,1000.0,552.86896,765.09283,1000.0,653.02216,768.86237,739.9781,351.78915,609.6639,0.0,1000.0,414.48242,0.0,0.0,65.075874,591.73456,390.0207,355.58514,709.5135,948.4092,575.059,808.78284,742.339,1000.0,291.98706,263.26596,653.0123,0.0,386.00134,1.0443337,0.0,0.2100955
-248.18713,800.0,710.0222,-721.73254,133.79517,-149.39307,244.63684,-474.87717,-800.0,185.18488,428.37903,800.0,210.54364,-633.7793,-266.14954,-63.3927,-800.0,-800.0,44.08838,-264.34515,800.0,640.98413,-55.44171,-800.0,649.8063,-61.542053,800.0,202.61218,115.038025,50.018616,703.64746,525.112,1000.0,1000.0,0.0,611.4365,393.14572,693.77936,658.3077,990.4704,364.14706,233.9007,727.7485,1000.0,168.85591,546.389,0.0,440.34683,288.0792,431.18115,235.94078,583.2584,761.8838,0.0,0.0,281.6118,1000.0,0.0,838.14624,135.32054,490.5548,856.3011,288.61572,631.49725,1000.0,0.0,945.171,1000.0,579.48126,292.3729,0.0,951.0283,291.6537,0.0,956.4214,389.0525,27.94218,0.0,706.2211,487.63016,357.45862,513.0979,686.9007,518.1366,1000.0,500.01,346.39526,318.01956,487.1292,471.73584,1.1,1.0,1.0
-383.93713,-800.0,-800.0,-800.0,-577.97705,742.74963,786.7388,49.401672,453.3678,800.0,-390.87955,-800.0,216.17944,-282.74146,800.0,329.5725,-792.37054,200.36047,-800.0,-512.396,-109.98047,800.0,549.374,-800.0,6.4258423,800.0,231.5575,-398.1175,424.12183,456.1306,0.0,1000.0,1000.0,460.90332,268.81097,940.6265,1000.0,394.74554,791.18097,0.0,0.0,749.7302,429.83328,696.71875,0.0,260.79904,818.9913,387.35986,750.7438,795.7585,238.13206,1000.0,1000.0,71.52292,241.96783,440.4062,669.0254,0.0,708.198,320.2267,417.05374,992.29614,1000.0,614.8339,779.45874,312.50555,691.09216,417.56802,0.0,1000.0,1000.0,108.723404,1000.0,100.113716,1000.0,24.17466,746.6899,0.0,0.0,759.8588,379.08572,824.08044,996.23865,569.3474,0.0,745.1721,801.0685,851.1512,716.19293,1000.0,1.1,0.8510696,0.6272068
-800.0,-142.67578,-40.513794,800.0,-605.0112,800.0,468.182,366.95874,-546.695,800.0,-677.2128,64.82086,93.211914,-773.9888,-800.0,-800.0,723.29834,-51.608215,-552.7223,254.57153,89.57129,153.34375,73.52734,-800.0,-567.77216,-61.565857,763.3335,227.84082,162.67273,-125.84418,742.84296,770.55963,661.9324,964.3463,1000.0,1000.0,0.0,1000.0,665.1264,339.0277,0.0,0.0,1000.0,800.4476,679.42883,320.83838,1000.0,368.85367,0.0,984.2129,529.1196,708.243,564.38654,580.4668,860.4462,0.0,494.7648,912.1921,833.6154,161.16136,459.87738,1000.0,0.0,922.48145,370.29303,803.5891,652.4573,0.0,139.78424,586.75525,0.0,496.82715,574.4828,350.72235,1000.0,302.0652,480.28152,519.6925,453.86172,1000.0,799.34625,773.507,60.695587,1000.0,407.84775,274.19098,1000.0,214.76042,494.6074,959.6679,0.9195486,0.0,0.69445705
800.0,-414.2841,800.0,800.0,-800.0,89.407166,-800.0,-781.73596,-800.0,-2.553833,-154.4685,800.0,-491.80984,321.25684,-251.64978,200.71832,800.0,-39.1485,-398.1228,-139.98987,60.76953,800.0,-800.0,-558.62256,-800.0,-800.0,285.6936,800.0,-800.0,186.25726,929.4081,824.95496,168.05502,313.39667,52.081047,172.98451,1000.0,1000.0,312.18063,272.72702,30.70861,0.0,0.0,0.0,1000.0,168.14264,1000.0,806.1789,49.956917,392.28876,483.91367,421.93906,706.33575,1000.0,1000.0,915.8881,406.31555,0.0,394.5156,248.58603,248.23344,791.4231,1000.0,1000.0,0.0,177.10689,1000.0,561.41327,0.0,0.0,203.20805,959.0185,552.3947,21.050692,0.0,357.2295,1000.0,225.44855,621.22955,8.980215,703.1345,583.4785,0.0,722.34216,681.3826,483.73584,0.0,1000.0,0.0,1000.0,0.9,0.31138593,0.48372597
-800.0,155.42535,-800.0,207.64105,-144.3913,-34.43286,770.699,800.0,356.16357,124.44,-591.3109,-306.78473,71.74512,742.7416,725.0182,8.276489,800.0,-800.0,469.93933,224.78589,-595.35876,-800.0,-453.36386,-800.0,252.66003,-770.85614,-800.0,-800.0,-101.09985,75.769226,873.55853,810.6892,893.50104,924.23645,484.00037,150.43944,496.86908,649.30383,1000.0,337.19293,378.55917,173.53874,415.6934,724.1086,383.04272,176.05069,940.46185,708.21124,0.0,0.0,1000.0,38.127274,108.745155,210.82321,492.50348,0.0,31.175793,701.8869,956.30237,64.49881,689.90356,792.9305,332.4884,0.0,139.62674,177.96504,1000.0,226.39668,0.0,0.0,1000.0,476.4896,252.92781,0.0,1000.0,86.68238,654.7583,0.0,1000.0,787.17664,646.6339,781.6105,534.29083,0.0,551.7703,78.973564,149.53998,720.0437,0.0,596.83124,1.0768816,0.0,0.7852775
740.4852,800.0,-121.52173,-800.0,-70.07922,800.0,800.0,-93.664246,-800.0,448.07495,-710.5016,314.5952,49.732788,198.22504,268.12415,-800.0,-800.0,740.29785,800.0,-653.3854,-144.07446,800.0,744.68176,-800.0,-800.0,-797.259,800.0,-800.0,-800.0,-800.0,0.0,32.043934,0.0,220.09108,1000.0,199.1917,1000.0,0.0,649.414,571.8047,0.0,710.2147,1000.0,0.0,193.6008,851.0152,541.57245,61.036407,0.0,0.0,0.0,928.9571,0.0,731.88416,1000.0,0.0,1.857549,786.6868,1.9212961,415.1209,1000.0,423.94412,679.4219,910.9883,859.493,1000.0,1000.0,401.93478,1000.0,92.65235,0.0,918.53925,0.0,306.81128,1000.0,203.71103,731.3603,834.98773,582.7783,433.69434,63.264668,0.0,638.3715,594.5153,0.0,709.19086,1000.0,1000.0,937.1628,424.48868,1.1,0.59447473,1.0
769.0989,-538.5851,800.0,182.04633,-800.0,745.28564,-212.80225,727.1824,-800.0,800.0,800.0,-719.40967,305.32703,298.47498,-800.0,800.0,677.3362,514.10144,366.094,-410.79947,800.0,405.8435,-101.78668,-368.12933,-800.0,-134.47809,800.0,800.0,800.0,-519.0528,460.9295,590.38763,584.5519,384.83527,659.0718,918.40265,739.219,0.0,0.0,826.60443,216.09744,99.40088,1000.0,1000.0,414.96713,1000.0,698.22375,399.44418,780.8383,573.82416,215.0519,484.41162,1000.0,823.15546,1000.0,1000.0,0.0,737.301,420.48038,0.0,741.4205,400.75592,782.40814,0.0,799.68024,425.58795,804.41583,1000.0,329.93353,890.79156,0.0,977.85706,0.0,1000.0,122.356445,456.71014,782.98267,136.47154,303.4837,848.17566,278.91934,208.43219,889.12415,459.0578,373.5942,746.31335,1000.0,0.0,2.1480918,0.0,1.0962106,0.029882014,0.5818412
800.0,800.0,-46.279175,800.0,170.31335,524.37695,800.0,406.23096,21.188904,-800.0,-501.43967,800.0,800.0,-483.38803,168.40125,-403.12033,619.90967,95.442505,800.0,-658.928,800.0,-800.0,-97.2088,343.77197,297.43152,-246.49744,66.184814,-800.0,-408.58127,-800.0,0.0,116.539505,445.76685,645.94446,111.38156,440.26193,561.0025,27.409464,818.2452,87.250114,145.14816,1000.0,594.0541,1000.0,117.74546,356.88965,648.53033,645.70856,1000.0,0.0,953.043,999.47565,505.11157,1000.0,577.3789,567.16547,101.25282,899.7085,206.43774,924.3039,974.46936,674.41473,451.56534,283.52036,1000.0,549.9427,0.0,0.0,751.4585,453.40042,493.1935,14.739275,590.41034,573.5659,770.3089,100.50461,916.14215,1000.0,230.5867,554.08276,485.8665,85.05681,35.213173,683.4381,837.11383,288.94968,0.0,343.839,0.0,535.47723,0.93191075,0.15459701,1.0
