Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action 26,Action 27,Action 28,Action 29,Action 30,Action 31,Action 32,Action 33,Action 34,Action 35,Action 36,Action 37,Action 38,Action 39,Action 40,Action 41,Action 42,Action 43,Action 44,Action 45,Action 46,Action 47,Action 48,Action 49,Action 50,Action 51,Action 52,Action 53,Action 54,Action 55,Action 56,Action 57,Action 58,Action 59,Action 60,Action 61,Action 62,Action 63,Action 64,Action 65,Action 66,Action 67,Action 68,Action 69,Action 70,Action 71,Action 72,Action 73,Action 74,Action 75,Action 76,Action 77,Action 78,Action 79,Action 80,Action 81,Action 82,Action 83,Action 84,Action 85,Action 86,Action 87,Action 88,Action 89,Action 90,Action 91,Action 92,Action 93,Action 94,Action 95
10.0518875,80.0,10.074234,80.0,-80.0,80.0,-80.0,4.3904724,36.013107,-80.0,-80.0,-36.6564,9.277077,6.850548,-80.0,80.0,-43.57383,80.0,80.0,11.378265,80.0,-78.255684,-80.0,80.0,-33.612892,-80.0,80.0,47.324387,14.14077,-80.0,0.0,0.0,100.0,100.0,100.0,99.89241,0.0,100.0,100.0,24.18527,93.819664,61.718487,67.494896,27.413923,72.89827,15.17055,33.422832,58.622467,31.485022,0.0,0.0,87.27525,53.495834,28.484648,74.4007,0.0,37.99711,20.48328,86.5766,32.49217,97.877945,14.933499,71.98877,47.06704,100.0,0.0,36.802967,0.0,40.050552,67.245544,52.714897,70.658554,92.990005,100.0,32.34466,100.0,19.482084,82.38004,11.456397,100.0,27.484804,2.233252,32.303,9.3029175,6.965986,54.22604,56.756283,56.783092,98.91112,0.0,0.9639215,1.0,0.5177021,0.0,0.14209002
3.3602219,14.511002,-35.041008,72.29404,50.052216,-80.0,-34.4252,80.0,16.685905,-80.0,-46.39992,-80.0,7.1776733,-80.0,-40.66574,-12.846382,-28.824265,22.166328,24.343788,-42.38726,-80.0,11.428368,-80.0,-80.0,62.399902,-14.463333,-80.0,-18.685055,49.00653,80.0,0.0,0.9328902,12.3361225,64.41269,0.0,0.0,38.86674,59.673683,83.998085,92.20508,100.0,67.3921,49.429733,0.0,100.0,0.0,68.33685,79.26228,34.71636,0.0,72.44265,0.0,100.0,0.0,100.0,0.0,68.272224,94.969536,100.0,31.694149,68.33243,100.0,52.52708,74.07871,100.0,29.173029,36.604248,70.41564,45.50775,30.739468,3.0228436,100.0,58.639454,0.0,0.0,0.0,48.261856,40.82526,22.527079,92.74415,100.0,52.79272,93.58112,84.535,100.0,62.43645,11.089409,42.98895,0.0,52.119595,0.9652786,0.090809405,0.7951333,0.0,0.0
-76.855965,80.0,76.04909,-80.0,62.68416,-40.153927,-29.920559,9.282997,-80.0,-19.276772,50.119537,80.0,21.737732,-60.98093,-60.50676,4.975731,-80.0,-63.668198,40.0895,-24.592976,80.0,80.0,-72.689964,-80.0,80.0,-6.9311066,80.0,80.0,13.058182,80.0,100.0,51.95622,100.0,100.0,0.0,53.311146,30.493,100.0,84.50791,95.507774,3.9963245,45.415867,74.56363,100.0,0.0,41.963398,14.434206,59.972435,40.853085,29.943768,21.777216,77.84441,71.84147,0.0,0.0,37.974102,100.0,0.0,100.0,27.241766,7.696423,100.0,5.884108,62.806313,100.0,0.0,48.59196,100.0,71.428505,0.0,0.0,94.24262,39.91483,0.0,53.821766,44.414787,16.416529,0.0,91.07388,59.668446,49.776436,43.670162,79.72516,48.83011,100.0,86.17448,23.467878,0.0,89.73236,64.15289,0.9689072,1.0,1.0,0.23159823,0.8835515
-80.0,-80.0,-48.753605,-80.0,-1.4441528,80.0,27.577904,69.70645,39.488358,80.0,-53.46741,-80.0,22.507774,-27.01653,80.0,48.777206,-35.00383,26.645111,-69.64074,-57.094086,-19.450752,80.0,-19.017845,-80.0,11.973923,80.0,8.526756,64.53265,45.88723,80.0,0.0,100.0,100.0,28.803925,19.633146,100.0,90.28711,80.27696,100.0,0.0,0.0,100.0,51.64793,40.0616,0.0,13.56177,74.32047,50.54214,73.10191,100.0,22.078716,100.0,100.0,12.690544,8.233744,63.83349,68.07525,0.0,77.90262,48.070778,0.0,100.0,100.0,61.4003,64.49902,0.0,31.3158,31.71162,0.0,96.92784,100.0,0.0,100.0,0.0,79.78181,0.0,57.014168,0.0,0.0,100.0,51.92249,89.456825,100.0,56.98576,0.0,100.0,91.16978,68.75231,100.0,100.0,0.96701455,1.0,1.0,0.0,0.0
-80.0,18.773262,15.791122,80.0,-3.8804321,80.0,-6.2098236,80.0,-50.786217,80.0,-80.0,-19.982918,5.7030106,-74.54685,-80.0,-80.0,80.0,5.3253937,-34.565235,43.399475,-3.512535,49.86876,-61.244576,-80.0,-54.113564,-6.9370117,74.3495,80.0,18.117607,56.12343,100.0,73.08849,94.657196,94.751724,100.0,100.0,0.0,100.0,85.340706,33.19211,0.0,0.0,100.0,59.163265,96.76138,19.532684,100.0,47.24826,3.4718008,100.0,62.129707,93.19337,46.317703,44.681557,66.40209,0.0,49.7121,100.0,100.0,30.152208,3.8642228,100.0,0.0,87.35839,2.7681084,59.59712,28.68887,0.0,21.373129,28.21145,0.0,5.357218,83.03145,11.910969,98.97555,26.49985,41.966427,50.13558,41.739124,100.0,93.621765,82.01057,8.538196,100.0,13.833666,60.406036,100.0,0.0,91.22087,100.0,0.96174383,0.6453022,1.0,0.38008314,0.98349786
80.0,1.367157,80.0,80.0,-80.0,20.21022,-80.0,-26.081738,-80.0,-46.694717,-23.578243,80.0,-74.244,31.421707,-55.97153,34.413445,80.0,6.379883,-15.227524,-8.297485,-5.8121796,80.0,-80.0,-80.0,-80.0,-80.0,15.228973,80.0,-80.0,80.0,100.0,77.772835,5.398464,9.48275,0.0,0.0,100.0,100.0,42.22888,26.850298,0.0,0.0,12.180156,0.0,100.0,4.3477774,100.0,100.0,24.2543,21.870604,55.906982,58.032818,64.66314,80.17771,86.93881,100.0,40.391914,0.0,20.028841,39.999813,0.0,100.0,100.0,100.0,0.0,0.0,57.133835,48.980373,0.0,0.0,33.149128,95.80987,79.663124,0.0,0.0,37.860435,81.155716,29.00893,74.45856,0.0,84.07514,54.032017,0.7808238,81.35016,59.688515,84.316376,0.0,100.0,0.0,100.0,0.96066606,1.0,1.0,0.0,0.2941479
-80.0,37.875153,-49.17471,7.168312,37.61692,-11.091011,25.880676,80.0,30.714157,-28.144115,-78.8124,-80.0,2.7722855,72.20148,80.0,12.962204,80.0,-80.0,80.0,39.49655,-58.217323,-80.0,-80.0,-80.0,40.31269,-80.0,-80.0,31.797638,-9.89843,80.0,100.0,76.54504,100.0,89.49805,55.70388,0.0,40.258293,100.0,100.0,33.0174,6.383091,38.5058,50.56082,45.10983,7.431996,5.134356,79.92767,100.0,14.237562,0.0,100.0,10.89775,0.0,21.445784,31.797045,0.0,0.8616537,94.32239,100.0,19.262672,32.60025,100.0,13.627842,0.0,0.0,0.0,93.243614,8.763599,0.0,0.0,100.0,1.3834476,34.01013,0.0,67.47451,0.0,51.82237,0.0,100.0,100.0,78.46887,83.20191,62.378204,0.0,37.961872,38.129078,0.0,51.705574,0.0,81.707634,0.96620107,0.562158,1.0,0.26412547,0.0
80.0,80.0,9.287338,-80.0,44.310196,80.0,80.0,53.217163,-80.0,19.128876,-80.0,36.293854,-0.23472595,19.51722,80.0,-80.0,-80.0,72.334595,80.0,-75.56161,-22.172508,80.0,-1.6807632,-80.0,-80.0,-80.0,80.0,-27.609833,-80.0,-71.2316,0.0,9.502989,0.0,0.0,100.0,0.0,91.018005,31.247553,83.42144,55.46105,0.0,99.915634,100.0,0.0,0.0,72.25935,61.51534,0.0,0.0,0.0,0.0,100.0,0.0,54.200054,85.895065,0.0,0.0,100.0,0.0,58.758175,74.37148,41.62093,74.86535,86.389565,76.57468,100.0,66.95539,29.836575,100.0,0.0,0.0,87.89181,0.0,3.3569245,72.413315,6.2443523,56.149567,72.772514,66.9417,51.62664,20.584015,0.0,74.210724,60.99274,0.0,100.0,100.0,89.70935,100.0,57.51863,0.96689945,1.0,1.0,0.011206746,0.0
80.0,-6.602646,80.0,4.191475,-80.0,80.0,-78.43283,80.0,-80.0,80.0,80.0,-80.0,34.69654,29.215591,-80.0,80.0,80.0,53.196075,80.0,-43.775764,77.06244,80.0,-76.7981,-80.0,-80.0,-25.018417,80.0,80.0,80.0,-12.603004,58.08627,57.578033,80.67002,18.843634,85.04912,100.0,63.073456,39.27689,0.0,79.83735,0.0,30.017963,100.0,100.0,17.052588,100.0,68.74641,52.686245,75.198265,59.54448,18.900331,65.703896,100.0,59.938126,100.0,100.0,0.0,99.009964,24.822035,6.1893554,39.038708,37.62995,93.04329,0.0,67.55146,0.0,39.023735,100.0,43.018826,61.762894,0.0,99.50345,0.0,100.0,2.0181894,58.34463,59.06626,22.618404,12.344587,100.0,41.981365,0.0,100.0,39.42129,8.097076,100.0,100.0,0.0,0.0,0.0,0.9667507,0.6979347,1.0,1.0,0.030260295
80.0,80.0,15.328323,80.0,65.96344,80.0,80.0,80.0,0.4758606,-80.0,-67.45191,80.0,80.0,-46.432396,75.453094,-32.89808,79.767914,17.768799,80.0,-76.28273,69.58249,-80.0,-76.39085,66.05528,45.462708,-52.81047,-11.938965,1.7496185,-42.555965,-80.0,0.0,16.777336,55.587326,53.046345,0.0,25.161785,46.296833,47.314304,100.0,9.107721,0.0,100.0,64.28125,99.9287,0.0,23.120129,66.45247,96.50973,100.0,0.0,100.0,100.0,38.66022,86.438156,39.78009,84.472404,8.247292,100.0,0.0,100.0,68.15127,84.762924,34.64747,33.448486,100.0,8.3543005,0.0,0.0,91.0094,13.502595,68.81444,0.0,85.45427,55.305798,42.267376,0.0,66.58815,100.0,0.0,69.57029,62.515305,0.0,5.6444974,75.15209,85.797295,62.085938,0.0,2.7927816,0.0,73.09263,0.962096,0.8676466,1.0,0.0,0.22525087
