Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11
0.36744326,1.02,0.9184911,1.2,0.88,1.6993976,0.95444006,1.0,0.98318684,0.0,0.0
0.35179037,0.87816674,0.85822725,1.2,0.886206,1.453064,0.9552316,1.0,0.9514936,0.0,0.36003068
0.3,1.02,1.0066199,0.8,0.9203177,1.552802,0.95528877,1.0,0.73747194,0.0,0.85712117
0.3,0.72,0.83991,0.8,0.88,1.7,0.95601827,1.0,0.98888963,0.0,0.32363325
0.3,0.9001802,0.9261282,1.2,0.88,1.7,0.9555896,1.0,0.8408396,0.0,0.13717657
0.7,0.81028044,1.0230275,1.2,0.88,1.6038749,0.9538468,0.998978,0.6925623,0.0,0.4775654
0.3,0.99884015,0.8393469,1.1226599,0.88,1.5773902,0.95599675,1.0,0.9744956,0.0,0.19310027
0.53516024,1.02,0.91743994,0.8,0.88,1.7,0.9567376,1.0,0.7161484,0.0,0.11548215
0.54589987,0.7691264,1.0244617,1.1119328,0.88,1.7,0.95467305,1.0,0.75513154,0.0,1.0
0.59347606,1.02,0.9255092,1.2,0.92919105,1.6968979,0.9566971,1.0,0.9248871,0.0,0.25160143
0.3,0.72,0.922862,0.9424481,1.1018713,1.546335,0.9539976,1.0,0.7101114,0.0,0.35167
0.47660246,1.02,1.05,0.8,0.88,1.5834696,0.95437795,0.94143724,0.93499804,0.0,0.39809358
0.6628632,1.02,0.96257627,0.9258219,1.0465975,1.5648911,0.9545893,0.95451117,0.8450374,0.0,0.0
0.39250436,1.02,0.94866574,1.2,1.28,1.4810084,0.9545627,1.0,0.7694086,0.0,1.0
0.3,1.02,1.05,1.2,1.1046174,1.4860193,0.9574846,1.0,1.0,0.0,0.5571807
0.49533528,1.02,0.75,1.0458144,0.88,1.6139638,0.95492244,1.0,0.87171257,0.0,0.0
0.41821223,0.75731266,0.81083435,1.1239648,0.9897989,1.4770266,0.95495397,1.0,0.8658587,0.0,0.5906414
0.43006906,1.0116626,0.9103193,0.9367695,0.88,1.6798357,0.95630664,1.0,0.97937965,0.0,0.36498788
0.3,1.02,0.90202,1.2,1.007968,1.7,0.95638573,1.0,1.0,0.0,0.8686367
0.6706667,0.7857442,0.9086565,1.2,0.88,1.5805389,0.95624304,1.0,1.0,0.0,0.29376763
0.3,1.02,0.9579336,0.80422944,0.88,1.3161383,0.9546013,1.0,0.69224393,0.0,0.6360412
0.49935254,0.95812184,1.05,0.93727267,0.88544613,1.6982962,0.9546515,1.0,0.92658937,0.0,0.6806593
0.3,1.02,0.82087964,1.2,1.0350375,1.3697803,0.95524395,1.0,0.97512674,0.0,0.32861328
0.3,0.96254283,0.97512454,0.90886116,0.88,1.6254358,0.9545143,1.0,0.8975611,0.0,0.0
