Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11
0.6723759,1.02,1.0294214,1.2,1.2,1.7,0.95811534,1.0,1.0,0.0,0.0
0.621298,0.714183,1.02,1.2,1.2724799,1.3,0.96072483,1.0,1.0,0.0,0.15223292
0.3,1.02,1.05,1.05,1.28,1.3,0.96091324,1.0,0.0,0.0,1.0
0.3,0.7,1.02,1.05,1.2,1.7,0.9633181,1.0,1.0,1.0,0.0
0.3,0.7812645,1.0333452,1.2,1.2,1.7,0.9619049,1.0,0.0,1.0,0.0
0.7,0.7,1.05,1.2,1.2,1.5217714,0.9561595,0.89003813,0.0,0.0,1.0
0.3,1.02,1.02,1.1989958,1.2431436,1.3,0.963247,1.0,1.0,0.0,0.0
0.7,1.02,1.0288819,1.05,1.2589333,1.7,0.9656893,1.0,0.0,0.5333235,0.0
0.7,0.7,1.05,1.1882038,1.2,1.7,0.95888275,1.0,0.0,1.0,1.0
0.7,1.02,1.0330288,1.2,1.28,1.7,0.96555567,1.0,1.0,0.0,0.0
0.3,0.7,1.0316688,1.05,1.28,1.3,0.95665586,1.0,0.0,1.0,0.08371884
0.7,1.02,1.05,1.05,1.2,1.3423083,0.9579098,0.735096,1.0,1.0,0.46452278
0.7,1.02,1.05,1.05,1.28,1.3,0.9586065,0.77029234,0.0,0.0,0.0
0.7,1.02,1.0449258,1.2,1.28,1.3,0.95851874,1.0,0.0,1.0,1.0
0.3,1.02,1.05,1.2,1.28,1.3,0.9681517,1.0,1.0,0.0,1.0
0.7,1.02,1.02,1.121706,1.2,1.6105642,0.95970494,1.0,0.24275285,0.0,0.0
0.7,0.7,1.02,1.2,1.28,1.3,0.95980847,1.0,0.13868266,1.0,1.0
0.7,1.02,1.0252271,1.05,1.2302892,1.7,0.9642679,1.0,1.0,1.0,0.19299546
0.3,1.02,1.0209631,1.2,1.28,1.7,0.9645288,1.0,1.0,0.0,1.0
0.7,0.7,1.024372,1.2,1.2405874,1.3165736,0.9640584,1.0,1.0,0.0,0.0
0.3,1.02,1.0496873,1.05,1.2,1.3,0.95864606,1.0,0.0,1.0,1.0
0.7,0.9578226,1.05,1.05,1.271797,1.7,0.9588116,1.0,1.0,0.0,1.0
0.3,1.02,1.02,1.2,1.28,1.3,0.96076536,1.0,1.0,0.0,0.0
0.3,0.9713025,1.05,1.05,1.2,1.7,0.95836025,1.0,0.7033514,1.0,0.0
