Time,Battery-0,Battery-1,Battery-2,Battery-3,Battery-4,Battery-5,Battery-6,Battery-7,Battery-8,Battery-9,Battery-10,Battery-11,Battery-12,Battery-13,Battery-14,Battery-15,Battery-16,Battery-17,Battery-18,Battery-19,Battery-20,Battery-21,Battery-22,Battery-23,Battery-24,Battery-25,Battery-26,Battery-27,Battery-28,Battery-29
1,1000,269.00787,663.12445,444.94345,1000,62.84562,771.7882,0,303.85385,940.51587,362.27325,830.48834,639.8149,1000,610.6107,1000,82.199814,968.79895,298.95227,785.34534,132.80203,231.64868,269.7335,269.93173,366.86993,220.03937,569.9539,759.09546,533.25366,0
2,975.95825,1000,552.86896,765.09283,1000,653.02216,768.86237,739.9781,351.78915,609.6639,0,1000,414.48242,0,0,65.075874,591.73456,390.0207,355.58514,709.5135,948.4092,575.059,808.78284,742.339,1000,291.98706,263.26596,653.0123,0,386.00134
3,490.5548,856.3011,288.61572,631.49725,1000,0,945.171,1000,579.48126,292.3729,0,951.0283,291.6537,0,956.4214,389.0525,27.94218,0,706.2211,487.63016,357.45862,513.0979,686.9007,518.1366,1000,500.01,346.39526,318.01956,487.1292,471.73584
4,417.05374,992.29614,1000,614.8339,779.45874,312.50555,691.09216,417.56802,0,1000,1000,108.723404,1000,100.113716,1000,24.17466,746.6899,0,0,759.8588,379.08572,824.08044,996.23865,569.3474,0,745.1721,801.0685,851.1512,716.19293,1000
5,459.87738,1000,0,922.48145,370.29303,803.5891,652.4573,0,139.78424,586.75525,0,496.82715,574.4828,350.72235,1000,302.0652,480.28152,519.6925,453.86172,1000,799.34625,773.507,60.695587,1000,407.84775,274.19098,1000,214.76042,494.6074,959.6679
6,248.23344,791.4231,1000,1000,0,177.10689,1000,561.41327,0,0,203.20805,959.0185,552.3947,21.050692,0,357.2295,1000,225.44855,621.22955,8.980215,703.1345,583.4785,0,722.34216,681.3826,483.73584,0,1000,0,1000
7,689.90356,792.9305,332.4884,0,139.62674,177.96504,1000,226.39668,0,0,1000,476.4896,252.92781,0,1000,86.68238,654.7583,0,1000,787.17664,646.6339,781.6105,534.29083,0,551.7703,78.973564,149.53998,720.0437,0,596.83124
8,1000,423.94412,679.4219,910.9883,859.493,1000,1000,401.93478,1000,92.65235,0,918.53925,0,306.81128,1000,203.71103,731.3603,834.98773,582.7783,433.69434,63.264668,0,638.3715,594.5153,0,709.19086,1000,1000,937.1628,424.48868
9,741.4205,400.75592,782.40814,0,799.68024,425.58795,804.41583,1000,329.93353,890.79156,0,977.85706,0,1000,122.356445,456.71014,782.98267,136.47154,303.4837,848.17566,278.91934,208.43219,889.12415,459.0578,373.5942,746.31335,1000,0,2.1480918,0
10,974.46936,674.41473,451.56534,283.52036,1000,549.9427,0,0,751.4585,453.40042,493.1935,14.739275,590.41034,573.5659,770.3089,100.50461,916.14215,1000,230.5867,554.08276,485.8665,85.05681,35.213173,683.4381,837.11383,288.94968,0,343.839,0,535.47723
11,1000,240.63986,59.90371,0,496.0603,208.27519,1000,0,1000,991.1412,54.355442,1000,871.3948,1000,1000,664.9229,513.76385,0,823.23914,0,484.22778,305.02005,664.08856,436.3433,268.78726,274.80154,1000,311.7365,955.22095,1000
12,0,494.8819,743.7892,987.3018,0,377.213,411.57336,603.80566,0,581.18396,347.12488,427.6785,676.47296,277.3499,1000,316.50055,468.72232,0,149.36691,225.42056,563.62274,836.5008,732.4206,956.0382,1000,539.24884,0,1000,1000,95.47693
13,1000,493.94403,0,0,377.7669,0,836.80835,78.52262,209.49194,0,0,589.7489,680.2691,158.38069,0,0,473.4806,327.13715,0,1000,791.48065,0,189.26346,221.31056,749.1018,0,0,497.6948,0,329.97742
14,1000,737.93677,998.85236,521.5979,656.4945,121.69826,0,400.8771,825.1382,1000,582.70135,965.9152,61.729996,814.91174,0,0,0,519.6255,604.75494,915.196,619.4443,429.21774,872.85767,947.0283,243.97188,1000,1000,0,0,669.51685
15,960.09436,0,0,537.61115,685.454,376.40192,0,0,1000,1000,713.4561,429.3974,160.8679,647.7624,0,876.05023,657.0568,659.3513,446.38187,775.0353,172.24577,478.5126,702.931,473.21317,441.6632,1000,316.3681,280.83282,661.6353,0
16,294.60602,1000,495.48392,1000,1000,0,1000,868.77527,1000,187.67363,335.07733,622.59235,0,671.6509,1000,272.6561,0,580.2037,22.933632,234.90956,1000,234.82288,943.2203,302.13034,0,347.87192,810.6524,966.1826,848.0489,1000
17,407.13187,388.75284,309.9212,747.4704,205.90442,963.81866,564.53796,0,270.48315,1000,463.0838,1000,596.4379,1000,1000,0,1000,1000,649.7355,222.25893,0,862.1849,1000,0,147.40228,872.42175,1000,1000,386.18106,981.47296
