Time,Battery-0,Battery-1,Battery-2,Battery-3,Battery-4,Battery-5,Battery-6,Battery-7,Battery-8,Battery-9,Battery-10,Battery-11,Battery-12,Battery-13,Battery-14,Battery-15,Battery-16,Battery-17,Battery-18,Battery-19,Battery-20,Battery-21,Battery-22,Battery-23,Battery-24,Battery-25,Battery-26,Battery-27,Battery-28,Battery-29
1,100,0,68.820145,42.397915,91.92798,0,19.738344,0,44.715225,54.521698,53.438557,66.70149,100,100,49.509735,100,27.978539,82.06335,0,100,34.745617,4.7059536,41.105755,23.022049,19.56712,47.869076,39.081383,61.366386,70.923744,0
2,100,100,54.633064,62.655212,87.66601,39.26025,19.565647,40.561485,47.74438,26.780493,11.780554,100,61.793804,0,0,0,50.197388,33.028843,9.436167,91.22496,95.08385,50.9515,75.90358,95.3477,100,51.70948,0,45.617294,0,62.13569
3,28.331821,94.66144,20.63109,54.201656,100,0,29.899517,100,62.131096,0.17763376,0.6695956,80.671875,37.37665,0,78.26057,33.925854,25.612719,0,100,63.6871,51.36627,42.607086,68.03554,61.02223,100,62.812,0.7929921,0,65.87128,72.909706
4,16.33284,100,100,53.147316,57.75665,0,15.005342,0,9.618497,77.07611,100,0,100,0,100,0,56.95417,0,0,97.47439,52.96638,84.487045,88.00438,68.86302,0,75.89631,78.6627,75.03122,90.97534,100
5,23.323881,100,0,72.61414,11.746323,59.768612,12.741548,0,34.349228,24.859459,0,28.01935,93.6013,8.497345,100,20.718136,45.33735,44.01485,35.597755,100,84.05638,77.67644,27.611538,100,26.513342,50.759834,100,0,66.6907,100
6,0,83.71217,100,88.60546,0,0,37.264828,16.091421,0,0,37.036205,81.600266,89.20859,0,0,29.093906,75.592064,19.085957,80.15271,4.2803855,76.93867,52.085133,23.20593,92.285736,72.89447,61.94293,0,100,0,100
7,60.87594,83.96709,26.276043,0,0,0,68.39636,0,2.7281702,0,100,25.665165,29.677183,0,96.536514,0,52.946236,0,100,100,72.758606,78.76648,58.184284,0,50.918343,40.340073,0,55.569313,0,88.626396
8,100,21.691757,70.91725,71.88799,66.75827,99.52401,45.733147,0,100,0,0,76.91014,0,2.805984,100,5.7850065,56.286846,70.72655,69.91664,56.99127,29.600365,0,64.90368,72.714554,0,73.97521,100,98.95775,100,66.969154
9,69.287704,17.780975,84.16896,6.899932,60.033195,8.287275,21.653694,87.14887,46.3624,50.355972,1.4695406,83.78875,0,98.36931,8.912209,44.19651,58.538593,11.545831,0,100,45.553837,1.581806,81.09245,51.97616,20.7105,75.95605,100,0,12.716669,0
10,100,63.96796,41.59856,32.18476,100,25.226503,0,0,72.99928,13.682848,66.93522,0,96.759605,37.375988,62.79104,0,64.345695,100,0,71.93048,60.863857,0,25.966335,86.32654,99.30197,51.545288,0,0,12.07048,80.91271
11,100,0,0,0,25.892008,0,95.25436,0,98.199844,58.771717,21.680132,100,100,100,100,75.80735,46.79862,0,100,0,60.7424,14.588726,66.5652,48.4985,2.9417486,50.78975,100,0,100,100
12,0,33.669342,79.19982,76.718056,0,1.7001688,0,21.906067,0,24.397978,51.871204,20.013422,100,0,90.87169,22.909122,44.834484,0,0,31.141245,66.616165,86.15407,70.97677,100,100,64.90395,0,100,100,25.622303
13,100,33.51026,0,13.953742,12.590111,0,23.554186,0,38.750805,0,0,38.800022,100,0,0,0,45.04186,27.69956,0,100,83.47378,0,35.91136,15.579185,84.37937,33.930473,0,22.564816,0,55.089523
14,100,74.689186,100,47.24968,43.932514,0,0,0,77.655396,100,76.16519,82.40551,0,68.6537,0,0,18.402655,44.007957,75.76603,100,70.74607,31.312197,80.04284,100,0,95.01829,100,0,12.405541,97.75521
15,100,0,0,48.263042,47.18882,1.5893698,0,0,100,86.02685,89.64892,20.212252,11.375343,46.99163,0,100,53.047455,55.845993,33.61051,99.35157,37.661194,37.95009,69.07279,54.14279,32.25313,97.156815,0,0,84.98756,0.021788478
16,0,100,47.249813,78.955925,100,0,37.521687,58.21762,100,0,50.62773,42.609936,0,50.087303,100,16.252184,21.945766,49.140053,0,32.318325,100,5.1373425,84.586205,27.951893,0,54.68925,80.30543,92.108894,100,100
17,14.726779,15.769089,23.37361,61.544395,0,81.6083,7.5969577,0,42.602345,100,63.822365,100,97.947296,100,96.050644,0,73.68229,100,87.73718,30.746704,0,89.60605,100,0,0,82.68479,100,100,54.793694,100
18,0,56.304657,13.987905,55.20398,0,0,0,0,46.91569,21.466839,14.166469,79.06305,0,0,31.183275,84.884,44.939606,100,0,43.823357,54.439323,72.09102,26.048521,9.146276,0.4979968,48.763554,100,0,60.41707,70.35954
19,0,62.807243,0,28.18133,60.985626,39.162098,0,28.512987,100,38.33458,100,9.608316,100,0,53.5592,0,58.852814,46.017014,0,92.41463,21.489597,84.00379,55.416466,45.17402,100,78.255035,100,0,5.6928515,40.760117
20,0,72.21915,77.363075,61.22368,44.97069,0,0,100,100,5.4980187,57.513947,0,98.07159,0,80.51915,40.47078,49.02125,47.403156,0,0,57.30645,34.82717,81.49855,100,27.345047,87.71508,100,100,0,0
21,100,11.541274,76.11063,77.55049,26.468765,0,3.749463,0,30.430817,22.260216,0,100,98.54926,80.442085,69.88772,0,50.55931,65.34595,81.24996,44.202023,32.559116,100,43.07239,65.75124,13.99121,49.277782,0,32.17724,80.52334,61.594433
22,95.368164,10.909072,0,64.874825,45.323418,0,0,45.85276,79.643654,73.98194,100,41.257446,100,0,0,80.42825,74.1806,0,0,0,92.88227,100,100,69.06058,8.070501,23.465168,0,78.365944,100,100
23,100,71.967705,100,79.144135,100,83.45292,27.803007,0,100,22.814983,15.699095,6.3340216,77.53981,57.95902,2.4949431,45.12153,100,77.046646,29.741215,14.325714,66.369354,46.104305,38.23882,100,100,70.27338,0,21.784445,50.465286,88.34894
24,61.991955,100,0,57.7071,39.02079,100,21.085526,49.044514,82.066956,39.837543,75.69182,0,52.233154,0,0,76.01776,38.565098,18.029898,49.249077,31.472576,48.30084,100,75.04561,70.107155,21.037378,55.408623,0,43.99877,4.9559116,100
