Time,Battery-0,Battery-1,Battery-2,Battery-3,Battery-4,Battery-5,Battery-6,Battery-7,Battery-8,Battery-9,Battery-10,Battery-11,Battery-12,Battery-13,Battery-14,Battery-15,Battery-16,Battery-17,Battery-18,Battery-19,Battery-20,Battery-21,Battery-22,Battery-23,Battery-24,Battery-25,Battery-26,Battery-27,Battery-28,Battery-29
1,97.877945,14.933499,71.98877,47.06704,100,0,36.802967,0,40.050552,67.245544,52.714897,70.658554,92.990005,100,32.34466,100,19.482084,82.38004,11.456397,100,27.484804,2.233252,32.303,9.3029175,6.965986,54.22604,56.756283,56.783092,98.91112,0
2,68.33243,100,52.52708,74.07871,100,29.173029,36.604248,70.41564,45.50775,30.739468,3.0228436,100,58.639454,0,0,0,48.261856,40.82526,22.527079,92.74415,100,52.79272,93.58112,84.535,100,62.43645,11.089409,42.98895,0,52.119595
3,7.696423,100,5.884108,62.806313,100,0,48.59196,100,71.428505,0,0,94.24262,39.91483,0,53.821766,44.414787,16.416529,0,91.07388,59.668446,49.776436,43.670162,79.72516,48.83011,100,86.17448,23.467878,0,89.73236,64.15289
4,0,100,100,61.4003,64.49902,0,31.3158,31.71162,0,96.92784,100,0,100,0,79.78181,0,57.014168,0,0,100,51.92249,89.456825,100,56.98576,0,100,91.16978,68.75231,100,100
5,3.8642228,100,0,87.35839,2.7681084,59.59712,28.68887,0,21.373129,28.21145,0,5.357218,83.03145,11.910969,98.97555,26.49985,41.966427,50.13558,41.739124,100,93.621765,82.01057,8.538196,100,13.833666,60.406036,100,0,91.22087,100
6,0,100,100,100,0,0,57.133835,48.980373,0,0,33.149128,95.80987,79.663124,0,0,37.860435,81.155716,29.00893,74.45856,0,84.07514,54.032017,0.7808238,81.35016,59.688515,84.316376,0,100,0,100
7,32.60025,100,13.627842,0,0,0,93.243614,8.763599,0,0,100,1.3834476,34.01013,0,67.47451,0,51.82237,0,100,100,78.46887,83.20191,62.378204,0,37.961872,38.129078,0,51.705574,0,81.707634
8,74.37148,41.62093,74.86535,86.389565,76.57468,100,66.95539,29.836575,100,0,0,87.89181,0,3.3569245,72.413315,6.2443523,56.149567,72.772514,66.9417,51.62664,20.584015,0,74.210724,60.99274,0,100,100,89.70935,100,57.51863
9,39.038708,37.62995,93.04329,0,67.55146,0,39.023735,100,43.018826,61.762894,0,99.50345,0,100,2.0181894,58.34463,59.06626,22.618404,12.344587,100,41.981365,0,100,39.42129,8.097076,100,100,0,0,0
10,68.15127,84.762924,34.64747,33.448486,100,8.3543005,0,0,91.0094,13.502595,68.81444,0,85.45427,55.305798,42.267376,0,66.58815,100,0,69.57029,62.515305,0,5.6444974,75.15209,85.797295,62.085938,0,2.7927816,0,73.09263
11,100,10.05497,0,0,21.745829,0,100,0,100,72.83702,14.8322315,100,100,100,100,100,43.860016,0,100,0,62.352394,13.038158,77.13704,35.80405,0,60.470943,100,0,100,100
12,0,53.843277,86.22697,92.82913,0,0,12.311154,54.071247,0,27.602785,50.84533,0,98.573074,0,63.24446,29.470783,41.31596,0,0,20.57932,70.23033,91.27839,84.9055,100,100,90.64599,0,100,100,11.338678
13,84.89135,53.68101,0,9.139371,3.89933,0,41.22731,0,29.30609,0,0,23.558468,99.15223,0,0,0,41.584576,36.30802,0,100,92.839745,0,23.15764,1.5619308,71.04415,24.4272,0,22.797562,0,44.250782
14,100,95.70374,100,53.53611,45.949703,0,0,29.710943,99.398186,100,79.82427,97.16823,4.8611374,100,0,0,7.079646,50.12908,71.237755,100,75.76933,31.321419,100,100,0,100,100,0,0,91.904274
15,66.35602,0,0,54.88733,50.318558,0,0,0,100,100,95.908295,0,19.97386,69.755226,0,100,51.95394,60.16162,40.27922,100,31.395943,38.578457,81.552765,41.675137,19.508883,100,18.996174,0,100,0
16,0,100,42.39961,95.812904,100,0,57.428265,85.87907,100,0,49.362038,29.99017,0,74.40623,100,20.441431,11.669201,54.478233,0,21.993452,100,2.705309,100,14.432091,0,68.807724,92.597626,83.711365,100,100
17,0,35.57451,9.648663,72.59623,0,91.99397,22.715319,0,36.247223,100,65.1011,100,86.366295,100,67.11559,0,78.68065,100,80.030235,20.106415,0,95.05179,100,0,0,100,100,100,69.60199,100
18,0,76.94066,0,64.14192,0,0,5.769336,0,44.01812,23.744267,5.869928,91.52438,0,0,18.656767,100,41.45277,100,9.831667,35.81239,53.899364,75.903305,5.7950735,0,0,56.14058,100,0,79.81742,61.307304
19,0,83.57694,0,28.111631,68.82688,29.027235,0,59.856216,100,45.94096,100,0,100,0,35.3725,0,59.47329,51.831085,0,94.17349,9.708696,88.92698,57.506794,32.34733,100,100,100,0,0,28.24751
20,0,93.1819,83.706665,72.16867,47.34153,0,0,100,100,2.731094,57.576115,0,86.46126,0,55.512417,53.28984,46.73922,53.006042,0,0,57.74449,35.16423,100,100,14.657372,100,100,100,0,0
21,100,31.26059,81.988815,93.93849,22.51927,0,18.253984,0,14.318338,24.78908,0,100,86.827415,100,47.56988,0,48.731403,68.21236,75.26529,36.26671,24.554068,100,35.76934,53.75079,1.4546692,57.239063,0,31.216967,100,51.516693
22,58.997772,30.616438,0,77.037346,47.815723,0,0,75.04804,100,92.85269,100,27.706882,100,0,0,100,79.326904,9.746018,0,0,100,100,100,57.19236,0,2.053526,0,71.67378,100,100
23,80.24428,92.9271,100,96.06491,100,94.73251,46.15693,0,100,25.520123,7.697323,0,70.71483,86.23779,0,59.59959,100,78.12854,37.43802,0.38199127,69.899445,47.493206,27.254946,100,100,100,0,22.113995,61.741344,81.39797
24,33.454144,100,0,67.480644,39.36079,100,38.366467,77.84627,100,47.921925,79.259834,0,51.307697,0,0,100,33.194542,28.113922,51.764053,20.97623,45.665268,100,92.07045,58.28035,8.4198,70.34566,0,41.57114,0,100
