irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0,293.50793,800,-111.72296,800,-800,536.0543,-385.98386,-517.33905,414.8662,-791.15765,-800,-9.218689,119.34442,67.30463,-800,800,-800,800,637.90784,10.17688,800,-606.0397,-214.66406,800,-389.634,-762.338,800,-627.38354,125.230774,-800
0,251.8097,-209.1828,-673.6446,767.20874,-6.3948364,-615.75195,202.16083,235.50012,200.7616,-482.03268,-334.97772,-409.6314,104,-800,-202.7356,-223.27979,-716.32196,147.42505,-81.78375,-400.16022,-800,-74.494385,-688.91815,-415.1112,444.55225,-91.901184,-800,-800,453.4895,192.85242
0,-248.18713,800,710.0222,-721.73254,133.79517,-149.39307,244.63684,-474.87717,-800,185.18488,428.37903,800,210.54364,-633.7793,-266.14954,-63.3927,-800,-800,44.08838,-264.34515,800,640.98413,-55.44171,-800,649.8063,-61.542053,800,202.61218,115.038025,50.018616
0,-383.93713,-800,-800,-800,-577.97705,742.74963,786.7388,49.401672,453.3678,800,-390.87955,-800,216.17944,-282.74146,800,329.5725,-792.37054,200.36047,-800,-512.396,-109.98047,800,549.374,-800,6.4258423,800,231.5575,-398.1175,424.12183,456.1306
0,-800,-142.67578,-40.513794,800,-605.0112,800,468.182,366.95874,-546.695,800,-677.2128,64.82086,93.211914,-773.9888,-800,-800,723.29834,-51.608215,-552.7223,254.57153,89.57129,153.34375,73.52734,-800,-567.77216,-61.565857,763.3335,227.84082,162.67273,-125.84418
0,800,-414.2841,800,800,-800,89.407166,-800,-781.73596,-800,-2.553833,-154.4685,800,-491.80984,321.25684,-251.64978,200.71832,800,-39.1485,-398.1228,-139.98987,60.76953,800,-800,-558.62256,-800,-800,285.6936,800,-800,186.25726
0,-800,155.42535,-800,207.64105,-144.3913,-34.43286,770.699,800,356.16357,124.44,-591.3109,-306.78473,71.74512,742.7416,725.0182,8.276489,800,-800,469.93933,224.78589,-595.35876,-800,-453.36386,-800,252.66003,-770.85614,-800,-800,-101.09985,75.769226
0,740.4852,800,-121.52173,-800,-70.07922,800,800,-93.664246,-800,448.07495,-710.5016,314.5952,49.732788,198.22504,268.12415,-800,-800,740.29785,800,-653.3854,-144.07446,800,744.68176,-800,-800,-797.259,800,-800,-800,-800
0.046785911,769.0989,-538.5851,800,182.04633,-800,745.28564,-212.80225,727.1824,-800,800,800,-719.40967,305.32703,298.47498,-800,800,677.3362,514.10144,366.094,-410.79947,800,405.8435,-101.78668,-368.12933,-800,-134.47809,800,800,800,-519.0528
0.122601333,800,800,-46.279175,800,170.31335,524.37695,800,406.23096,21.188904,-800,-501.43967,800,800,-483.38803,168.40125,-403.12033,619.90967,95.442505,800,-658.928,800,-800,-97.2088,343.77197,297.43152,-246.49744,66.184814,-800,-408.58127,-800
0.152612856,-595.3501,-800,-70.96179,-222.15015,800,-179.65735,-714.57526,-84.54492,-800,706.0178,-347.7523,-346.34732,-640.1069,-53.223938,800,800,800,-393.1365,-800,800,800,800,608.806,211.41797,770.8312,-800,800,348.50488,-149.52435,291.3357
0.170279072,584.39417,800,800,-800,-800,-6.015564,-431.97632,-800,89.493774,800,-276.4547,-800,419.52356,-538.36584,74.70105,379.4441,-800,418.8662,-300.46198,-167.5498,209.62201,-373.29855,-800,402.38184,-800,635.912,-387.65472,-40.90497,-800,-800
0.150187885,800,397.75146,299.30554,-261.80133,652.8893,-92.890015,-275.00952,-800,-518.1498,-290.15656,-800,-237.12238,-800,800,115.34863,-800,-800,645.3214,-800,749.35803,-800,-649.0735,576.2698,-175.43219,-489.49222,-800,281.82263,571.76917,800,510.3894
0.172203016,360.26074,800,169.6131,800,800,-485.1243,-294.77896,646.43994,-800,800,800,49.76471,800,-708.11914,470.3319,775.0853,-158.50018,-466.87384,800,-715.792,-800,162.83777,800,800,-533.20496,800,-800,499.78406,-698.5459,25.036804
0.140247507,-800,800,800,800,800,-461.69382,800,-240.02277,800,-97.36951,-32.13806,133.69824,800,-685.9344,800,-220.11511,-285.3017,800,-800,800,677.7416,800,705.02527,-259.2409,-783.31354,-134.17767,-633.34155,-53.08972,-55.55841,-25.230103
0.073059773,634.3142,368.33032,-800,24.35791,-800,136.5716,-27.458252,520.10315,-337.9405,103.676636,-800,-603.17413,32.927063,800,-190.97217,408.72803,800,-245.00067,-316.0863,-99.81824,-362.27994,34.627136,-56.930298,-800,800,-800,483.0381,-327.13367,800,-800
0.016834511,428.71326,-574.20184,-800,210.71759,419.5293,-503.79166,-4.034424,539.61206,-377.35434,800,19.345825,-692.32025,630.10046,-126.87787,308.64392,-88.89722,-323.5259,361.22913,-550.17944,-687.3413,380.32202,800,606.76855,-800,-800,297.66162,-800,-800,92.08319,-292.16995
0,460.3036,194.24341,-187.89136,-235.716,-204.66492,444.58984,800,577.183,389.35498,800,-327.20343,800,800,96.95752,-800,-407.82193,-411.94495,50.26416,234.88306,-463.88315,800,-800,800,-800,800,-150.28687,800,609.5897,800,-225.54395
