irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0,0,0,100,100,100,99.89241,0,100,100,24.18527,93.819664,61.718487,67.494896,27.413923,72.89827,15.17055,33.422832,58.622467,31.485022,0,0,87.27525,53.495834,28.484648,74.4007,0,37.99711,20.48328,86.5766,32.49217
0,0,0.9328902,12.3361225,64.41269,0,0,38.86674,59.673683,83.998085,92.20508,100,67.3921,49.429733,0,100,0,68.33685,79.26228,34.71636,0,72.44265,0,100,0,100,0,68.272224,94.969536,100,31.694149
0,100,51.95622,100,100,0,53.311146,30.493,100,84.50791,95.507774,3.9963245,45.415867,74.56363,100,0,41.963398,14.434206,59.972435,40.853085,29.943768,21.777216,77.84441,71.84147,0,0,37.974102,100,0,100,27.241766
0,0,100,100,28.803925,19.633146,100,90.28711,80.27696,100,0,0,100,51.64793,40.0616,0,13.56177,74.32047,50.54214,73.10191,100,22.078716,100,100,12.690544,8.233744,63.83349,68.07525,0,77.90262,48.070778
0,100,73.08849,94.657196,94.751724,100,100,0,100,85.340706,33.19211,0,0,100,59.163265,96.76138,19.532684,100,47.24826,3.4718008,100,62.129707,93.19337,46.317703,44.681557,66.40209,0,49.7121,100,100,30.152208
0,100,77.772835,5.398464,9.48275,0,0,100,100,42.22888,26.850298,0,0,12.180156,0,100,4.3477774,100,100,24.2543,21.870604,55.906982,58.032818,64.66314,80.17771,86.93881,100,40.391914,0,20.028841,39.999813
0,100,76.54504,100,89.49805,55.70388,0,40.258293,100,100,33.0174,6.383091,38.5058,50.56082,45.10983,7.431996,5.134356,79.92767,100,14.237562,0,100,10.89775,0,21.445784,31.797045,0,0.8616537,94.32239,100,19.262672
0,0,9.502989,0,0,100,0,91.018005,31.247553,83.42144,55.46105,0,99.915634,100,0,0,72.25935,61.51534,0,0,0,0,100,0,54.200054,85.895065,0,0,100,0,58.758175
0.009860051,58.08627,57.578033,80.67002,18.843634,85.04912,100,63.073456,39.27689,0,79.83735,0,30.017963,100,100,17.052588,100,68.74641,52.686245,75.198265,59.54448,18.900331,65.703896,100,59.938126,100,100,0,99.009964,24.822035,6.1893554
0.089535623,0,16.777336,55.587326,53.046345,0,25.161785,46.296833,47.314304,100,9.107721,0,100,64.28125,99.9287,0,23.120129,66.45247,96.50973,100,0,100,100,38.66022,86.438156,39.78009,84.472404,8.247292,100,0,100
0.196246819,100,92.508224,100,100,100,0,47.892227,55.29964,91.47482,0,100,88.032265,100,100,100,0,64.61474,16.646946,0,100,2.3969083,5.5255833,5.045801,38.54292,31.585335,0,100,99.46801,23.119354,40.647484
0.293575064,100,100,0,57.336773,0,100,86.86691,67.711975,100,100,13.058877,77.67912,64.59149,12.290298,100,47.325928,100,100,45.26406,100,100,100,21.556694,70.82785,80.61969,100,100,42.50146,100,100
0.354643766,100,72.70285,57.61905,100,0,60.547703,0,42.668064,100,75.874695,12.133914,30.42289,100,0,100,100,81.20188,0,75.48826,100,0,54.286774,0,57.01633,0,81.73942,93.13293,0,0,67.53373
0.368638677,0,32.879025,0,100,100,100,48.445076,49.00645,100,94.68385,0,82.08391,100,84.31854,100,0,40.686302,0,0,59.38,0,100,80.14819,0,59.448444,53.609188,100,53.42703,0,66.73103
0.301049618,100,59.225227,100,57.459003,14.594826,58.39918,0,17.820974,100,0,80.17138,79.66621,0,0,66.61991,20.62078,95.44184,82.311615,93.67445,10.485193,100,100,29.222813,0,0,41.14103,7.709253,100,0,30.674854
0.235368957,0,41.864506,0,75.29312,22.1091,0,0,66.84587,100,0,100,0,74.054184,100,100,0,91.89174,20.499336,0,52.241306,0,100,61.037956,30.658272,30.655092,0,17.127987,48.90425,87.21086,87.673676
0.12913486,100,0,48.05351,0,24.08061,42.84584,0,100,90.002,80.9544,0,69.69813,42.839863,100,100,16.270655,56.831722,100,14.153179,100,31.094334,46.51876,0,0,85.97467,100,65.61296,100,12.614268,100
0.025763359,18.291605,0,100,85.57523,100,62.56821,88.32709,100,66.67656,34.292194,0,100,100,100,0,0.28319955,87.06999,76.16591,83.22988,0,29.58557,100,41.795765,0,59.039368,10.399032,23.419481,100,100,27.623623
0,0,53.661095,47.959553,74.70346,10.542459,0,55.27212,100,61.03989,100,100,7.5506506,30.083899,100,100,0,9.965533,84.39894,91.49329,0,0,0,100,83.09256,0,100,48.33497,78.63688,26.870419,95.13234
0,0,0,100,0,84.03558,100,56.991913,100,35.586864,85.851295,55.471657,100,38.881886,40.550396,31.20951,51.5835,15.48214,0,36.65636,73.95404,21.408897,51.66678,74.30165,84.436035,38.33431,0,72.56044,0,0,100
0,75.21973,39.702503,91.21844,100,0,5.6324453,68.45785,40.784317,79.03404,100,0,100,29.93552,100,100,36.980843,58.930416,100,42.099926,0,32.14994,22.963667,85.52346,13.042736,35.98176,100,41.45911,28.66772,0,83.376205
0,0,54.927082,0,58.29066,0,100,90.487625,100,91.470634,100,0,100,89.05823,75.29279,100,70.6003,14.096004,57.786823,98.75101,100,0,54.600567,4.910648,25.839373,1.3939828,0,79.16671,7.1291924,0,81.774155
0,0,75.867516,7.3105426,0,0,100,100,100,29.461098,74.01015,0,98.84364,94.13535,0,100,0,38.68877,0,1.8759727,100,68.32851,88.29007,51.011086,28.256746,90.879234,100,83.72931,80.74099,23.780941,46.827732
0,0,1.7734349,41.67697,65.634445,100,2.536279,40.87315,100,100,20.457346,90.75769,99.33696,70.746086,0,100,89.96532,85.11491,58.641327,59.445755,100,100,100,0,2.9162765,15.372604,0,100,0,86.273315,100
