irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0,0,0,915.6734,1000,810.048,894.5424,0,901.1875,1000,244.86517,906.72626,376.39395,635.83905,628.0123,600.2617,276.9689,0,432.77542,153.6988,186.96445,7.5643063,660.0545,619.923,322.8008,945.49585,0,383.587,144.15285,755.2115,181.94017
0,0,0,206.4401,732.7368,63.279778,172.73486,482.09177,165.1214,654.1349,955.93756,1000,425.96185,400.99484,138.27106,798.01917,0,689.35516,548.7359,200.04254,0,604.04956,0,1000,0,1000,0,670.89557,706.7749,842.1936,174.85005
0,703.64746,525.112,1000,1000,0,611.4365,393.14572,693.77936,658.3077,990.4704,364.14706,233.9007,727.7485,1000,168.85591,546.389,0,440.34683,288.0792,431.18115,235.94078,583.2584,761.8838,0,0,281.6118,1000,0,838.14624,135.32054
0,0,1000,1000,460.90332,268.81097,940.6265,1000,394.74554,791.18097,0,0,749.7302,429.83328,696.71875,0,260.79904,818.9913,387.35986,750.7438,795.7585,238.13206,1000,1000,71.52292,241.96783,440.4062,669.0254,0,708.198,320.2267
0,742.84296,770.55963,661.9324,964.3463,1000,1000,0,1000,665.1264,339.0277,0,0,1000,800.4476,679.42883,320.83838,1000,368.85367,0,984.2129,529.1196,708.243,564.38654,580.4668,860.4462,0,494.7648,912.1921,833.6154,161.16136
0,929.4081,824.95496,168.05502,313.39667,52.081047,172.98451,1000,1000,312.18063,272.72702,30.70861,0,0,0,1000,168.14264,1000,806.1789,49.956917,392.28876,483.91367,421.93906,706.33575,1000,1000,915.8881,406.31555,0,394.5156,248.58603
0,873.55853,810.6892,893.50104,924.23645,484.00037,150.43944,496.86908,649.30383,1000,337.19293,378.55917,173.53874,415.6934,724.1086,383.04272,176.05069,940.46185,708.21124,0,0,1000,38.127274,108.745155,210.82321,492.50348,0,31.175793,701.8869,956.30237,64.49881
0,0,32.043934,0,220.09108,1000,199.1917,1000,0,649.414,571.8047,0,710.2147,1000,0,193.6008,851.0152,541.57245,61.036407,0,0,0,928.9571,0,731.88416,1000,0,1.857549,786.6868,1.9212961,415.1209
0.046785911,460.9295,590.38763,584.5519,384.83527,659.0718,918.40265,739.219,0,0,826.60443,216.09744,99.40088,1000,1000,414.96713,1000,698.22375,399.44418,780.8383,573.82416,215.0519,484.41162,1000,823.15546,1000,1000,0,737.301,420.48038,0
0.122601333,0,116.539505,445.76685,645.94446,111.38156,440.26193,561.0025,27.409464,818.2452,87.250114,145.14816,1000,594.0541,1000,117.74546,356.88965,648.53033,645.70856,1000,0,953.043,999.47565,505.11157,1000,577.3789,567.16547,101.25282,899.7085,206.43774,924.3039
0.152612856,1000,996.04724,971.46375,1000,1000,0,577.94775,116.40644,715.3509,0,1000,606.3948,1000,1000,951.4994,0,608.71716,196.93211,0,949.30743,95.14925,0,244.99872,482.81033,490.24658,0,999.8657,740.7634,411.2446,254.36052
0.170279072,1000,1000,0,678.69727,0,1000,991.9678,254.74042,1000,1000,418.87335,515.92316,598.0866,545.8216,704.9177,600.2828,1000,1000,351.4187,1000,1000,969.4516,372.759,996.3713,1000,842.72955,1000,310.4739,1000,875.85046
0.150187885,808.57806,766.0377,457.01108,1000,140.7859,655.35126,0,0,891.15894,785.17316,413.2858,102.953705,1000,0,1000,1000,968.0463,0,785.0035,1000,0,391.44623,0,776.6727,0,550.3854,906.82446,0,0,493.0417
0.172203016,0,303.54028,0,1000,1000,1000,583.82153,46.27058,831.89557,981.78674,242.55731,554.4138,1000,936.9931,1000,0,90.35256,0,0,573.0376,0,1000,826.1461,0,786.5105,377.65897,1000,392.99756,257.59506,485.9159
0.140247507,760.32697,609.5128,861.95044,679.63165,238.76434,642.28845,0,0,1000,0,824.2923,533.2864,0,47.853382,579.4495,331.75665,1000,565.92883,1000,337.44388,814.6467,1000,432.08163,0,0,301.1035,96.143036,841.0731,0,165.82826
0.073059773,0,407.8916,0,815.77985,283.5944,265.90527,41.46543,245.09605,1000,0,1000,0,721.0858,1000,1000,0,1000,218.58672,0,538.6486,31.02994,1000,678.2644,357.3856,480.35223,0,185.52345,358.84006,758.65735,671.8432
0.016834511,1000,0,404.09964,203.80086,295.3652,547.6643,61.156662,1000,703.3007,838.20715,263.60196,446.24792,315.33942,1000,845.1487,287.98718,440.13446,864.67004,0,778.8586,303.6682,328.20703,166.02754,0,1000,1000,645.6523,1000,354.26175,1000
0,272.66983,0,1000,894.2673,1000,667.53516,1000,942.45374,512.331,350.48157,311.7315,835.001,1000,1000,187.60193,127.22891,1000,531.4776,896.08295,0,292.71112,1000,529.34247,0,782.1605,112.41996,245.21005,1000,1000,138.77647
0,152.93222,544.86926,403.58084,811.26324,214.59795,152.61441,656.32605,1000,466.1846,1000,949.0308,0,149.54158,1000,849.2863,0,0,577.73505,1000,202.91856,0,0,1000,1000,53.64737,1000,481.674,583.43787,431.5457,738.0868
0,160.5697,0,1000,0,653.04456,1000,674.5982,1000,257.79648,889.4012,675.0889,1000,263.8934,699.22815,461.9634,643.06635,0,88.83053,227.98125,643.2978,233.29497,370.12473,780.89813,1000,562.0001,0,711.58813,0,0,1000
0,542.0178,382.77985,642.93665,1000,48.099876,321.482,796.40625,0,613.50226,1000,19.21153,792.44073,147.6005,1000,737.29596,496.24313,485.58716,980.3757,306.05292,0,311.33044,136.39037,867.73944,77.192154,536.98724,1000,416.42502,205.9898,0,633.7059
0,163.87534,559.59393,0,685.9779,0,1000,1000,1000,715.31616,1000,323.31912,1000,916.1287,887.96704,730.1852,834.3112,0,428.1202,1000,1000,0,394.0015,243.94777,280.731,169.22539,0,774.283,43.292522,0,619.46643
0,0,802.8089,178.6392,4.450023,147.51971,1000,1000,1000,207.65082,765.70355,0,700.85095,982.15674,319.9349,1000,108.798294,47.05787,0,0,1000,574.168,668.3245,600.69037,319.17746,1000,778.44165,817.57935,599.30634,414.8432,309.21072
0,0,0,368.78754,742.06146,1000,302.80054,503.40314,1000,928.1417,205.89697,888.2291,705.13837,678.10986,219.99391,930.2061,1000,1000,432.87802,554.83246,775.85767,902.66327,1000,183.38013,0,317.8704,0,1000,0,753.56793,1000
