irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0,10.0518875,80,10.074234,80,-80,80,-80,4.3904724,36.013107,-80,-80,-36.6564,9.277077,6.850548,-80,80,-43.57383,80,80,11.378265,80,-78.255684,-80,80,-33.612892,-80,80,47.324387,14.14077,-80
0,3.3602219,14.511002,-35.041008,72.29404,50.052216,-80,-34.4252,80,16.685905,-80,-46.39992,-80,7.1776733,-80,-40.66574,-12.846382,-28.824265,22.166328,24.343788,-42.38726,-80,11.428368,-80,-80,62.399902,-14.463333,-80,-18.685055,49.00653,80
0,-76.855965,80,76.04909,-80,62.68416,-40.153927,-29.920559,9.282997,-80,-19.276772,50.119537,80,21.737732,-60.98093,-60.50676,4.975731,-80,-63.668198,40.0895,-24.592976,80,80,-72.689964,-80,80,-6.9311066,80,80,13.058182,80
0,-80,-80,-48.753605,-80,-1.4441528,80,27.577904,69.70645,39.488358,80,-53.46741,-80,22.507774,-27.01653,80,48.777206,-35.00383,26.645111,-69.64074,-57.094086,-19.450752,80,-19.017845,-80,11.973923,80,8.526756,64.53265,45.88723,80
0,-80,18.773262,15.791122,80,-3.8804321,80,-6.2098236,80,-50.786217,80,-80,-19.982918,5.7030106,-74.54685,-80,-80,80,5.3253937,-34.565235,43.399475,-3.512535,49.86876,-61.244576,-80,-54.113564,-6.9370117,74.3495,80,18.117607,56.12343
0,80,1.367157,80,80,-80,20.21022,-80,-26.081738,-80,-46.694717,-23.578243,80,-74.244,31.421707,-55.97153,34.413445,80,6.379883,-15.227524,-8.297485,-5.8121796,80,-80,-80,-80,-80,15.228973,80,-80,80
0,-80,37.875153,-49.17471,7.168312,37.61692,-11.091011,25.880676,80,30.714157,-28.144115,-78.8124,-80,2.7722855,72.20148,80,12.962204,80,-80,80,39.49655,-58.217323,-80,-80,-80,40.31269,-80,-80,31.797638,-9.89843,80
0,80,80,9.287338,-80,44.310196,80,80,53.217163,-80,19.128876,-80,36.293854,-0.23472595,19.51722,80,-80,-80,72.334595,80,-75.56161,-22.172508,80,-1.6807632,-80,-80,-80,80,-27.609833,-80,-71.2316
0.009860051,80,-6.602646,80,4.191475,-80,80,-78.43283,80,-80,80,80,-80,34.69654,29.215591,-80,80,80,53.196075,80,-43.775764,77.06244,80,-76.7981,-80,-80,-25.018417,80,80,80,-12.603004
0.089535623,80,80,15.328323,80,65.96344,80,80,80,0.4758606,-80,-67.45191,80,80,-46.432396,75.453094,-32.89808,79.767914,17.768799,80,-76.28273,69.58249,-80,-76.39085,66.05528,45.462708,-52.81047,-11.938965,1.7496185,-42.555965,-80
0.196246819,-80,-24.820854,13.346367,-42.852512,80,-47.78883,-80,54.266434,-80,56.81157,-48.02162,-80,-80,-4.812866,80,80,80,-23.575829,-80,80,80,80,-13.734154,37.32132,80,-80,80,80,-15.041016,80
0.293575064,56.720947,79.690765,80,-80,-75.940895,-3.9012985,-80,-58.92678,6.641678,80,-39.007645,-80,50.30345,-51.751923,46.13556,54.33139,-75.607994,45.138367,-3.0144653,-11.905296,6.0798798,-38.99145,-80,78.777954,-80,80,-68.11467,80,-80,-80
0.354643766,80,53.40329,43.07669,-47.46753,80,-25.859093,-80,-51.46373,-48.211304,-80,-80,-80,-80,80,58.8544,-80,-67.42403,64.30113,-80,80,-80,-80,-16.621826,-46.66088,-45.110264,-80,14.752876,80,80,80
0.368638677,20.764862,80,32.663177,80,80,-80,-80,80,-80,77.93138,80,-23.354683,80,-68.176056,80,80,16.503433,-29.815681,80,-80,-80,51.469177,23.152527,80,-50.141357,80,-80,80,-73.3531,80
0.301049618,-80,80,80,80,80,-80,80,36.348557,80,-60.531494,-8.118195,-4.446892,80,-66.029465,80,-12.499588,6.19767,80,-80,80,43.47,80,-5.1950836,-64.85539,-78.92844,-24.941174,-80,80,-5.0606384,73.66907
